Name,Date,Location/City,State,Category,Distance,Website/Reg Link,Contact Email,Summary
Chesapeake City New Years Day 5K,1/1/2020,Chesapeake City,Maryland,running,5km,https://raceroster.com/events/2020/26577/11th-annual-chesapeake-city-new-years-day-5k-runwalk,frank_vari@hotmail.com,Fast & flat course through town. Wheel measured
Father Time Frolic,1/1/2020,Phoenix,Maryland,running,5mi,https://brrc.com/event/father-time-frolic-2/,info@brrc.com,"Join us on January 1st to ring in the New Year at the Father Time Frolic, a predicted time race that features prizes to the top winners."
New Year's Day 5K,1/1/2020,Gaithersburg,Maryland,running,5km,https://runsignup.com/Race/MD/Gaithersburg/MCRRCNewYearsDay5K,sawyer20008@gmail.com,"The New Year’s Day 5K will again be at Manna Food Center, on Tuesday Jan 1, 2020 at 10 AM."
New Year's Day 5K Hot Chocolate Run,1/1/2020,Salisbury,Maryland,running,5km,https://runsignup.com/Race/MD/Salisbury/NewYearsDay5kHotChocolateRun,Vira@mindsinmotionsby.org,"The 5k will be set on the trails around The Salisbury Park and The Zoo trails close to the river. There are some roots and some rocks along the course, so be prepared."
New Years Day 5K With The Mayor,1/1/2020,Upper Marlboro,Maryland,running,5km,https://www.active.com/upper-marlboro-md/running/distance-running-races/new-years-day-5k-and-1-miler-with-the-mayor-2020,,"KICK OFF 2020 WITH OUR OFFICAL INAUGURAL NEW YEARS DAY 1 MILER WITH THE MAYOR OF UPPER MARLBORO, MARYLAND. THE COURSE IS A SCENIC ROUTE THROUGH THE TOWN OF UPPER MARLBORO, MARYLAND."
New Years Day 5K With The Mayor,1/1/2020,Upper Marlboro,Maryland,running,1mi,https://www.active.com/upper-marlboro-md/running/distance-running-races/new-years-day-5k-and-1-miler-with-the-mayor-2020,,"KICK OFF 2020 WITH OUR OFFICAL INAUGURAL NEW YEARS DAY 1 MILER WITH THE MAYOR OF UPPER MARLBORO, MARYLAND. THE COURSE IS A SCENIC ROUTE THROUGH THE TOWN OF UPPER MARLBORO, MARYLAND."
Resolution Run Baltimore 5K,1/1/2020,Baltimore,Maryland,running,5km,http://www.charmcityrun.com/calendar/2019/1/1/new-years-day-resolution-run-baltimore-5k-run-and-1-mile-walk,events@charmcityrun.com,
SMCN New Year's Day 5K,1/1/2020,Prince Frederick,Maryland,running,5km,https://www.active.com/prince-frederick-md/running/distance-running-races/5k-new-year-s-day-run-walk-2020,,Our Annual 5K Resolution Run/Walk helps raise money for our community mental health programs.
Winfield Mile,1/1/2020,Winfield,Maryland,running,1mi,https://www.wrrclub.com/winfield-mile,remuhl@aol.com,Slight uphill at the start but the remainder of the course is a gradual downhill. This is a point-to-point race so you must be there early enough to walk/jog the mile to the start.
CBRC Winter Trail Series - Myrtle Point Park,1/4/2020,California,Maryland,running,2.5mi,http://www.cbrcmd.org/cbrc_trail_runs_2020.htm,,CBRC trail runs are a perfect cure for wintertime running boredom. These club races are minimally-supported (no shirts or awards).
