Name,Date,Location/City,State,Category,Distance,Website/Registration Link,Contact Email,Summary,,,
Chilly Chippewa 5K,"Mar 7, 2020",Chippewa Falls,Wisconsin,running,5km,https://runsignup.com/Race/WI/ChippewaFalls/ChillyChippewa5k1mile?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,The Chippewa Falls High School Cross Country team is excited to host the 19th Annual Chilly Chippewa 5k/1mile. The event serves as a fundraiser for the team as well as an opportunity to get outside and begin the racing year.,,,
Freeze for Food 5K,"Mar 7, 2020",Madison,Wisconsin,running,5km,https://runsignup.com/Race/WI/Madison/RPCVFreezeForFood?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,Join us for our annual race!  Run or walk to raise funds to support food programs of Madison’s Open Doors for Refugees!,,,
Freeze for Food 10K,"Mar 7, 2020",Madison,Wisconsin,running,10km,https://runsignup.com/Race/WI/Madison/RPCVFreezeForFood?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,Join us for our annual race!  Run or walk to raise funds to support food programs of Madison’s Open Doors for Refugees!,,,
Great Milwaukee Pi Run 5K,"Mar 7, 2020","Hales Corners,",Wisconsin,running,5km,https://runsignup.com/Race/Info/WI/HalesCorners/GreatMilwaukeePiRun,,The Great Milwaukee Pi Run starts at the Boerner Botanical Gardens. The starting line is in the middle of the gardens and follows Whitnall Park Dr though Whitnall Park. ,,,
Great Milwaukee Pi Run 1K,"Mar 7, 2020","Hales Corners,",Wisconsin,running,1km,https://runsignup.com/Race/Info/WI/HalesCorners/GreatMilwaukeePiRun,,The Great Milwaukee Pi Run starts at the Boerner Botanical Gardens. The starting line is in the middle of the gardens and follows Whitnall Park Dr though Whitnall Park. ,,,
Howard Temin Lakeshore Path parkrun,"Mar 7, 2020",Madison,Wisconsin,running,5km,https://www.parkrun.us/howardteminlakeshorepath/,howardteminlakeshorepath@parkrun.com,It is a 5km run - it's you against the clock.,,,
Irish Jig Jog 4K,"Mar 7, 2020","Milwaukee,",Wisconsin,running,4km,https://runsignup.com/Race/WI/Milwaukee/JigJog4k,,"Run, Walk and Shuffle into the St. Patrick's holiday at Milwaukee's Lakefront in Veterans Park for our 7th Annual event. This is a run/walk 4k event (2.48 miles). We are kid friendly, stroller friendly, dog friendly and beer friendly. This event benefits Special Olympics of Wisconsin.",,,
Pi Day 5K,"Mar 7, 2020",Green Bay,Wisconsin,running,5km,https://raceroster.com/events/2020/26702/6th-annual-pi-day-5k,,"This year PI Day 5k Run/walk will be held on March 7, 2020 at 8:00am",,,
Point Bock Run,"Mar 7, 2020",Stevens Point,Wisconsin,running,5m,https://secure.getmeregistered.com/get_information.php?event_id=132250,pointbockrun@gmail.com,,No summary,,
Howard Temin Lakeshore Path parkrun,"Mar 14, 2020",Madison,Wisconsin,running,5km,https://www.parkrun.us/howardteminlakeshorepath/,howardteminlakeshorepath@parkrun.com,It is a 5km run - it's you against the clock.,,,
Lucky Leprechaun 7K,"Mar 14, 2020",Wauwatosa,Wisconsin,running,7km,https://raceroster.com/events/2020/22647/2020-lucky-leprechaun-7k,info@visioneventmanagement.com,"Run or walk your way in St. Paddy's style through the beautiful town of Wauwatosa for our 8th annual Lucky Leprechaun 7K . Starting and finishing in the historic Hart Park, this route is a runners paradise!",,,
Mittens For Marilyn 5K Fun Run,"Mar 14, 2020",Roberts,Wisconsin,running,5km,https://www.facebook.com/events/483458889270651,,"Come join us for the 1st Annual Bobtown St. Patrick’s Day Race on March 14th, 2020",,,
Rocket Blast off 5K,"Mar 14, 2020",Neenah,Wisconsin,running,5km,https://www.active.com/neenah-wi/running/distance-running/rocket-blast-off-5k-run-walk-2020?afid=156210&ltcmp=254301&ltclickid=03_39556889_70a4ffd3-30bb-4c24-988a-45c217ccdc39&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,The Rocket Blast-Off is the primary fundraiser of the Neenah Boys’ Track Booster Club. Our organization is committed to the preservation and growth of the seventh through twelfth grade boys track program within the Neenah Joint School District.,,,
Run to Remember 5K,"Mar 14, 2020",Weston,Wisconsin,running,5km,https://runsignup.com/Race/WI/Weston/RuntoRemember5?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,Wausau Metro Strong is proudly continuing the event to carry on their memory. Wausau Metro Strong’s mission is making a safer community for all in the greater Wausau area. ,,,
Shake Your Shamrocks 10K,"Mar 14, 2020",Oconomowoc,Wisconsin,running,10km,https://runsignup.com/Race/Info/WI/Oconomowoc/ShakeYourShamrocks,,"Join Silver Circle Sports Events & Lucky Chuckys for this 5K & 10K run / walk loaded with all kinds of participant goodies.  Free beer, shots, music, and a chance for a keg party!  Run or walk but shake your shamrocks",,,
Shake Your Shamrocks 5K,"Mar 15, 2020",Oconomowoc,Wisconsin,running,5km,https://runsignup.com/Race/Info/WI/Oconomowoc/ShakeYourShamrocks,,"Join Silver Circle Sports Events & Lucky Chuckys for this 5K & 10K run / walk loaded with all kinds of participant goodies.  Free beer, shots, music, and a chance for a keg party!  Run or walk but shake your shamrocks",,,
Shake Your Shamrocks 2M,"Mar 16, 2020",Oconomowoc,Wisconsin,running,2m,https://runsignup.com/Race/Info/WI/Oconomowoc/ShakeYourShamrocks,,"Join Silver Circle Sports Events & Lucky Chuckys for this 5K & 10K run / walk loaded with all kinds of participant goodies.  Free beer, shots, music, and a chance for a keg party!  Run or walk but shake your shamrocks",,,
Shake Your Shamrocks 1K,"Mar 17, 2020",Oconomowoc,Wisconsin,running,1km,https://runsignup.com/Race/Info/WI/Oconomowoc/ShakeYourShamrocks,,"Join Silver Circle Sports Events & Lucky Chuckys for this 5K & 10K run / walk loaded with all kinds of participant goodies.  Free beer, shots, music, and a chance for a keg party!  Run or walk but shake your shamrocks",,,
Shamrock 10K,"Mar 14, 2020",Janesville,Wisconsin,running,10km,https://runsignup.com/Race/WI/Janesville/BoysGirlsClubShamrock5K10KRunWalk?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"O'Riley & Conway's Irish Pub is doing it again! The Shamrock Shuffle to benefit Boys & Girls Club of Janesville! Come out for a great time, and to support a good cause.",,,
Shamrock 15K,"Mar 14, 2020",Janesville,Wisconsin,running,5km,https://runsignup.com/Race/WI/Janesville/BoysGirlsClubShamrock5K10KRunWalk?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"O'Riley & Conway's Irish Pub is doing it again! The Shamrock Shuffle to benefit Boys & Girls Club of Janesville! Come out for a great time, and to support a good cause.",,,
Shamrock N Run,"Mar 14, 2020",Twin Lakes,Wisconsin,running,5km,https://runsignup.com/Race/WI/TwinLakes/RandallsShamRocknRun,,Randall Consolidated School's 6th Annual ShamRock n' Run 5K Family Fun Run / Walk,,,
Shamrock Shuffle 5K,"Mar 14, 2020",Hartford,Wisconsin,running,5km,https://www.huhs.org/activities/hclub-shamrock-shuffle.cfm,eric.vandenacker@huhs.org,"The 2020 Shamrock Shuffle will be held on Saturday, March 14th at Hartford Union High School. Registration beginsat 8:00 am and the race will start at 9:00 am.",,,
Shamrock Shuffle 1M,"Mar 14, 2020",Hartford,Wisconsin,running,1m,https://www.huhs.org/activities/hclub-shamrock-shuffle.cfm,eric.vandenacker@huhs.org,"The 2020 Shamrock Shuffle will be held on Saturday, March 14th at Hartford Union High School. Registration beginsat 8:00 am and the race will start at 9:00 am.",,,
Shamrock Shuffle 5K,"Mar 14, 2020",Madison,Wisconsin,running,5km,https://runsignup.com/Race/WI/Madison/MadisonShamrockShuffle?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The Madison Shamrock Shuffle will take place on Saturday, March 14, 2020. 10K to start at 8:00am & 5K to start at 8:15am, at Library Mall.",,,
Shamrock Shuffle 10K,"Mar 14, 2020",Madison,Wisconsin,running,10km,https://runsignup.com/Race/WI/Madison/MadisonShamrockShuffle?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The Madison Shamrock Shuffle will take place on Saturday, March 14, 2020. 10K to start at 8:00am & 5K to start at 8:15am, at Library Mall.",,,
Shamrock Shuffle 5K,"Mar 14, 2020",Milwaukee,Wisconsin,running,5km,https://wildworkoutsandwellness.com/wilds-2020-shamrock-shuffle-5k/,,"Wild’s 2020 Shamrock Shuffle 5KCelebrate St Patrick’s Day with us on March 14th, 2020Kick off your running season by joining us at Wild Workouts & Wellness first run of 2020!",,,
UW Eau Claire Shamrock Shuffle,"Mar 14, 2020",Eau Claire,Wisconsin,running,5km,https://www.raceentry.com/races/shamrock-shuffle-5k/2020/register,woldbn@uwec.edu,"This 5k+ fun run/walk is hosted and sponsored by UW-Eau Claire’s University Recreation and Sport Operations department. Our event takes place on March 14th, 2020 and is a great way to kick off your 5k season. ",,,
UW Oshkosh Shamrock Shuffle 5K,"Mar 14, 2020",Oshkosh,Wisconsin,running,5km,https://uwoshkoshshamrockshuffle5k.itsyourrace.com/register/,,"Start your St. Patrick’s Day celebrations off on the right foot!This 5k run/walk is hosted by the UWO Student Recreation and Wellness Center, and takes place on Saturday, March 14, 2020. ",,,
Watertown Jig Jog 5K,"Mar 14, 2020",Watertown,Wisconsin,running,5km,https://march2november.wufoo.com/forms/s7brqna15zk8yx/,watertownjigjog@gmail.com,The non-profit Irish Jig Jog is the first race in the M2N series. Proceeds for this event support teachers and classrooms in both public and private schools.,,,
Hills Are Alive - CaniCross 5.5M,"Mar 15, 2020",Lake Geneva,Wisconsin,running,5.5m,https://www.raceentry.com/races/hills-are-alive-trail-runwalk/2020/register,briant@kenosharunningcompany.com,Join us at the Hills Are Alive Trail Run/Walk in March for a great race. The Hills Are Alive Trail Run/Walk works hard to deliver you a memorable race experience. ,,,
Hills Are Alive - CaniCross 3M,"Mar 15, 2020",Lake Geneva,Wisconsin,running,3m,https://www.raceentry.com/races/hills-are-alive-trail-runwalk/2020/register,briant@kenosharunningcompany.com,Join us at the Hills Are Alive Trail Run/Walk in March for a great race. The Hills Are Alive Trail Run/Walk works hard to deliver you a memorable race experience. ,,,
Hills Are Alive Trail Run 8M,"Mar 15, 2020",Kenosha,Wisconsin,running,8m,https://www.raceentry.com/races/hills-are-alive-trail-runwalk/2020/register,stephaniez@kenosharunningcompany.com,"Lake Geneva Canopy Tours/Arbor Trails is the home of the Hills are Alive Trail Run and Walk. Every turn of this 4.0-mile trail loop will reveal new treasure. From the emerging wildflowers to surprising a deer or another critter, the beauty of this 100-acre property will spring clean your soul.",,,
Hills Are Alive Trail Run 5.5M,"Mar 15, 2020",Kenosha,Wisconsin,running,5.5m,https://www.raceentry.com/races/hills-are-alive-trail-runwalk/2020/register,stephaniez@kenosharunningcompany.com,"Lake Geneva Canopy Tours/Arbor Trails is the home of the Hills are Alive Trail Run and Walk. Every turn of this 4.0-mile trail loop will reveal new treasure. From the emerging wildflowers to surprising a deer or another critter, the beauty of this 100-acre property will spring clean your soul.",,,
Luck Of The Irish 10K,"Mar 15, 2020",Cedarburg,Wisconsin,running,10km,https://runsignup.com/Race/WI/na/TheWinterRunSeries,,"Join us for the 2019-2020 Winter Run Series! Start the series off with the Pumpkin Run and finish wit the Luck of the Irish while completing The Elf Run, Run Into The New Year, The Big Chill and The Cupid Shuffle in between! ",,,
Luck Of The Irish 5K,"Mar 15, 2020",Cedarburg,Wisconsin,running,5km,https://runsignup.com/Race/WI/na/TheWinterRunSeries,,"Join us for the 2019-2020 Winter Run Series! Start the series off with the Pumpkin Run and finish wit the Luck of the Irish while completing The Elf Run, Run Into The New Year, The Big Chill and The Cupid Shuffle in between! ",,,
Dick Lytie Classic 3M,"Mar 21, 2020",Green Bay,Wisconsin,running,3m,https://runsignup.com/Race/WI/GreenBay/DickLytieClassic?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,DickLytieClassic@gmail.com,"Dick Lytie was a devoted runner and run promoter in the Green Bay area.  Like many runners in the 70ś, he ran for the simple joy of running. ",,,
Dick Lytie Classic 15K,"Mar 21, 2020",Green Bay,Wisconsin,running,15km,https://runsignup.com/Race/WI/GreenBay/DickLytieClassic?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,DickLytieClassic@gmail.com,"Dick Lytie was a devoted runner and run promoter in the Green Bay area.  Like many runners in the 70ś, he ran for the simple joy of running. ",,,
Dick Lytie Classic 13.1M,"Mar 21, 2020",Green Bay,Wisconsin,running,13.1m,https://runsignup.com/Race/WI/GreenBay/DickLytieClassic?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,DickLytieClassic@gmail.com,"Dick Lytie was a devoted runner and run promoter in the Green Bay area.  Like many runners in the 70ś, he ran for the simple joy of running. ",,,
Howard Temin Lakeshore Path parkrun,"Mar 21, 2020",Madison,Wisconsin,running,5km,https://www.parkrun.us/howardteminlakeshorepath/,howardteminlakeshorepath@parkrun.com,It is a 5km run - it's you against the clock.,,,
Never Forgotten Honor Flight 5K,"Mar 21, 2020",Wausau,Wisconsin,running,5km,https://bullfallsbrewery.com/Events/Event-Management/EventId/89/e/11th-annual-never-forgotten-honor-flight-5k-runwalk-bock-fest-21-mar-2020,,,No summary,,
Shamrock Beer Run,"Mar 21, 2020",Milwaukee,Wisconsin,running,5km,https://runsignup.com/Race/WI/Milwaukee/ShamrockBeerRunBrewFestMilwaukeeatVeteransPark?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"This is not your ordinary 5k race.  Consider this a jog, walk, and/or stumble through a craft brewing 5k experience.  ",,,
Shamrock Shuffle 5K,"Mar 21, 2020",Hayward,Wisconsin,running,5km,https://www.active.com/hayward-wi/running/distance-running-races/outdoor-ventures-shamrock-shuffle-2020?afid=156210&ltcmp=254301&ltclickid=03_39578550_96f94a99-4055-41a7-a65b-31b71bcfa5d7&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"8th Annual Shamrock Shuffle 5K/1K From the greatest outdoor brands like Smartwool, prana, keen, merrel, hoka, Saucony, hydroflask, kavu, The North Face, Marmot and many more.",,,
Shamrock Shuffle 1K,"Mar 21, 2020",Hayward,Wisconsin,running,1km,https://www.active.com/hayward-wi/running/distance-running-races/outdoor-ventures-shamrock-shuffle-2020?afid=156210&ltcmp=254301&ltclickid=03_39578550_96f94a99-4055-41a7-a65b-31b71bcfa5d7&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"8th Annual Shamrock Shuffle 5K/1K From the greatest outdoor brands like Smartwool, prana, keen, merrel, hoka, Saucony, hydroflask, kavu, The North Face, Marmot and many more.",,,
Easter Escapade Milwaukee 5K ,"Mar 22, 2020",Milwaukee,Wisconsin,running,5km,https://runsignup.com/Race/WI/Milwaukee/EasterEscapadeMilwaukee?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Join us for the Easter Escapade, an Easter-themed run that is perfect for the whole family. The fun includes great swag (designer shirt, custom medal), chip-timing, live results and awards, free photos, costume contest, free kids’ dash, great post-race food, and plenty of fun activities. Grab your friends and family, because you are not going to want to miss this one!",,,
Easter Escapade Milwaukee 10K,"Mar 22, 2020",Milwaukee,Wisconsin,running,10km,https://runsignup.com/Race/WI/Milwaukee/EasterEscapadeMilwaukee?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Join us for the Easter Escapade, an Easter-themed run that is perfect for the whole family. The fun includes great swag (designer shirt, custom medal), chip-timing, live results and awards, free photos, costume contest, free kids’ dash, great post-race food, and plenty of fun activities. Grab your friends and family, because you are not going to want to miss this one!",,,
Leprechaun Lane Milwaukee 5K,"Mar 22, 2020",Milwaukee,Wisconsin,running,5km,https://runsignup.com/Race/WI/Milwaukee/LeprechaunLaneMilwaukee?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Join us for the annual Leprechaun Lane, a St. Patrick’s themed run that is perfect for the whole family. The fun includes great swag (designer shirt, custom medal), chip-timing, live results and awards, free photos, costumes, free kids' dash, great post-race food, and plenty of fun activities. Grab your friends and family, because you are not going to want to miss this one!",,,
