Name,Date,Location/City,State,Category,Distance,Swim Distance,Bike Distance,Run Distance,Website/Reg Link,Contact Email,Summary,
IRONMAN 70.3 South Africa,01/26/2020,Buffalo City,East London,Triathlon,HIM,1.2 mi,56 mi,13.2 mi,https://www.ironman.com/im703-south-africa-course,southafrica@ironman.com,Gateway to the Wild Coast,
IRONMAN 70.3 Dubai,02/07/2020,Dubai,,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-dubai?_ga=2.131695434.496721044.1575427030-1001469344.1575427030,dubai70.3@ironman.com,Gateway to the Wild Coast,
IRONMAN 70.3 Oman,02/21/2010,Muscat,,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-oman?_ga=2.171737317.496721044.1575427030-1001469344.1575427030,oman70.3@ironman.com,Modern Middle Eastern Fusion,
"IRONMAN 70.3 Bangsaen, Thailand",02/23/2020,Bangsaen,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-bangsaen?_ga=2.110726080.496721044.1575427030-1001469344.1575427030,admin@ironman703bangsaen.com,Soft Sand Beaches and Friendly People,
IRONMAN 70.3 Geelong,02/23/2020,Geelong,Victoria,Triathlon,HIM,1.9km,90 km,21.1 km,https://www.ironman.com/im703-geelong?_ga=2.192718959.496721044.1575427030-1001469344.1575427030,geelong@ironman.com,Race the World’s Best IRONMAN 70.3,
5150 Triathlon Series Davao,02/23/2020,Davao,,Triathlon,Olympic,1.5 km,40 km,10 km,https://www.ironman.com/5150-davao-philippines?_ga=2.71468118.496721044.1575427030-1001469344.1575427030,penongs@5150philippines.com,5150 Davao Philippines,
IRONMAN 70.3 Bariloche,03/01/2020,Bariloche,Patagonia,Triathlon,HIM,1900 m,90 km,21.1 km,https://www.ironman.com/im703-bariloche?_ga=2.171722853.496721044.1575427030-1001469344.1575427030,Bariloche70.3@ironman.com,Picture Perfect Patagonia,
IRONMAN 70.3 New Zealand,03/07/2020,Taupo,Wakaito,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-new-zealand?_ga=2.67283156.496721044.1575427030-1001469344.1575427030,newzealand@ironman.com,Great Lake Taupō,
IRONMAN New Zealand,03/07/2020,Taupo,Wakaito,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-new-zealand?_ga=2.130131786.496721044.1575427030-1001469344.1575427030,newzealand@ironman.com,A bucket list race for all triathletes,
IRONMAN 70.3 Taiwan,03/07/2020,Taitung,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-taiwan?_ga=2.64073706.496721044.1575427030-1001469344.1575427030,taiwan70.3@ironman.com,Taitung Taiwan Welcomes You,
IRONMAN 70.3 Campeche @ Sunset,03/15/2020,Campeche,,Triathlon,HIM,1.9 km,90 km,21 km,https://www.ironman.com/im703-campeche?_ga=2.164390778.496721044.1575427030-1001469344.1575427030,Campeche70.3@Ironman.com,A Unique Dusk Finishline,
IRONMAN 70.3 Puerto Rico,03/15/2020,San Juan,Puerto Rico,Triathlon,HIM,1.9 km,90 km,21 km,https://www.ironman.com/im703-puerto-rico?_ga=2.96694106.496721044.1575427030-1001469344.1575427030,puertorico70.3@ironman.com,Old San Juan Beckons,
SUPERSEAL Triathlon,03/15/2020,Coronado,California,Triathlon,IM,1 mi,24.8 mi,6.2 mi,https://www.ironman.com/superseal-triathlon?_ga=2.134914100.496721044.1575427030-1001469344.1575427030,superseal@ironman.com,SUPERSEAL Triathlon,
IRONMAN 70.3 Davao Philippines,03/22/2020,Davao,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-davao-philippines?_ga=2.63146218.496721044.1575427030-1001469344.1575427030,im703davao@sunriseevents.com.ph,A Fusion of Urban and Natural Worlds,to be updated
IRONMAN 70.3 Punta del Este,03/29/2020,Punta del Este,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-punta-del-este?_ga=2.168927332.496721044.1575427030-1001469344.1575427030,puntadeleste70.3@ironman.com,Fishing Village Charm,
IRONMAN South Africa (African Championship),03/29/2020,"Nelson Mandela Bay, Port Elizabeth",,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-south-africa?_ga=2.176392160.496721044.1575427030-1001469344.1575427030,southafrica@ironman.com,Scintillating South African Scenery,
IRONMAN 70.3 Oceanside,04/04/2020,Oceanside,California,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-oceanside?_ga=2.75730768.496721044.1575427030-1001469344.1575427030,oceanside70.3@ironman.com,Return to Triathlon’s Roots,
"IRONMAN 70.3 Greece, Costa Navarino",04/05/2020,Costa Navarino,,Triathlon,HIM,1.9 km,90.1 km,21.1 km,https://www.ironman.com/im703-greece,greece70.3@ironman.com,Indulge in Sweeping Greek Panoramas,
