Name,Date,Location/City,State,Category,Distance,Website/Reg Link,Contact Email,Summary
1st Day 5K,1/1/2020,Fair Lawn,New Jersey,running,5km,https://runsignup.com/Race/NJ/FairLawn/1stDay5K,,Fair Lawn Sunrise Rotary presents 1st Day 5K Run & 3K Family Walk to benefit Rotary Charities & The Rotary Gift of Life.
1st Day 5K - 3km,1/1/2020,Fair Lawn,New Jersey,running,3km,https://runsignup.com/Race/NJ/FairLawn/1stDay5K,,Fair Lawn Sunrise Rotary presents 1st Day 5K Run & 3K Family Walk to benefit Rotary Charities & The Rotary Gift of Life.
CJRR Hangover Run,1/1/2020,Westfield,New Jersey,running,5km,https://runsignup.com/Race/NJ/Westfield/Hangover5K,,"38th Annual Hangover 5k run held in and around Tamaques Park and the surrounding Westfield neighborhood. USATF certified course. Flat, tree-lined streets. As always, featuring a custom designed, cozy and warm hoodie (guaranteed to all pre-registrants) and plenty of post race bagels and hot chocolate. NO ONLINE REGISTRATION FEE. Online registration closes 12/28/19 at 11:59pm.  Race day registration will be available for $40."
Ocean City First Day 5K,1/1/2020,Ocean City,New Jersey,running,5km,https://runsignup.com/Race/NJ/OceanCity/FirstDay5KBoardwalkRun,runawayac@comcast.net,Course will start & finish on the boardwalk near Moorlyn Terrace.
One One Run,1/1/2020,Pitman,New Jersey,running,1mi,https://runsignup.com/Race/NJ/Pitman/TheOneOneRunPitman?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,How Fast Can You Run A Mile? Find Out at The One-One Run!
Resolution Run 5K,1/1/2020,Hillsborough,New Jersey,running,5km,https://runsignup.com/Race/NJ/Hillsborough/TheResolutionRun5K, courtney-newman@comcast.net,"How about welcoming the New Year with a new commitment to fitness? Our 3.1 mile race is walker friendly and is a great way to start off the year.  Join us on New Year’s Day, 2020!"
St. Mark's New Year's Day 5K,1/1/2020,Long Valley,New Jersey,running,5km,https://runsignup.com/Race/NJ/LongValley/StMarksNewYearsDay5K,newyearsday5k@outlook.com,"It's our third year, and we're excited to host you as you get your New Year off on the right foot."
Williamstown Badgers Hangover 5K,1/1/2020,Williamstown,New Jersey,running,5km,https://runsignup.com/Race/NJ/Williamstown/BadgersHangover5K,,New Years Day 5K - Get off to a good start in the New Year.  This is a No Frills race (no t-shirt or finisher medal) but we do have official chip timing.  Prizes will be given to the first overall female and male finishers.  The race entry fee is minimal to helps us cover our costs.  Kids 14 and under are free with entry of an adult.
Delaware and Raritan Canal parkrun,1/4/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
Winter Ultra Watchung Run - 10km,1/4/2020,Mountainside,New Jersey,running,10km,https://runsignup.com/Race/NJ/Mountainside/WatchungWinter,njtrailseries@gmail.com,"Join us for a run through beautiful Watchung Reservation in north-central NJ.  These low-key, minimal-support, informal trail runs will  provide an excellent opportunity to test"
Winter Ultra Watchung Run - 13.1mi,1/4/2020,Mountainside,New Jersey,running,13.1mi,https://runsignup.com/Race/NJ/Mountainside/WatchungWinter,njtrailseries@gmail.com,"Join us for a run through beautiful Watchung Reservation in north-central NJ.  These low-key, minimal-support, informal trail runs will  provide an excellent opportunity to test"
Winter Ultra Watchung Run - 26.2mi,1/4/2020,Mountainside,New Jersey,running,26.2mi,https://runsignup.com/Race/NJ/Mountainside/WatchungWinter,njtrailseries@gmail.com,"Join us for a run through beautiful Watchung Reservation in north-central NJ.  These low-key, minimal-support, informal trail runs will  provide an excellent opportunity to test"
Winter Ultra Watchung Run - 50km,1/4/2020,Mountainside,New Jersey,running,50km,https://runsignup.com/Race/NJ/Mountainside/WatchungWinter,njtrailseries@gmail.com,"Join us for a run through beautiful Watchung Reservation in north-central NJ.  These low-key, minimal-support, informal trail runs will  provide an excellent opportunity to test"
Browning Ross Winter Series 5K,1/5/2020,Glassboro,New Jersey,running,5km,https://d8a9ff76-a619-4772-ae91-d5ae27e8e5c2.filesusr.com/ugd/38042f_84c90eef7ac34175a411d702b9743e09.pdf,tuffgangrunning@yahoo.com,Registration & start of race will take place in the parking lot next to Rowan University’s track on Bowe Blvd.
FARC Winter Race Series,1/5/2020,Freehold,New Jersey,running,5km,http://www.farcnj.com/pdfs/2020%20%20Winter%20Series%20App.pdf,,37th Annual Winter Race Series
Delaware and Raritan Canal parkrun,1/11/2020,Somerset,New Jersey,running,5km,https://www.parkrun.us/register/,delawareandraritancanal@parkrun.com,"Delaware and Raritan Canal parkrun is a FREE weekly 5km event for runners of all standards, which takes place every Saturday at 9:00am in Delaware and Raritan Canal State Park Trail, 156 Mettlers Rd, Somerset, NJ 08873. It is not a race against other runners, but a 5k timed run and it can really be whatever you want it to be, whether that's for fun or as part of a training plan."
Secret Mystery Winter Trail Run - 5mi,1/11/2020,North Brunswick,New Jersey,running,5mi,https://runsignup.com/Race/NJ/NorthBrunswick/SecretMysteryRun,Kenvnjlaw@yahoo.com,"POTENTIAL EXCITING DANGERS / CHALLENGES - Get bitten by starving animals - Slip on ice & break bones - Buried bombs with mustard gas - Cut your leg on sharp branches - Slip on snow and break arm - Touch 29,000 Volts of Electricity - Run into tree branches, poke eye out - Angry deer with huge antlers - Fall into marsh - Exploding gas pipelines - Giant Sticker bushes - Slide off mud cliffs - Get hit in head with cement - Bad drivers from New York - Crawl under barbed wire who don't speak English Super pissed off hunters angry that the hashers trespassed on their land and scared away the deer, [Possible nudity by women]"
Secret Mystery Winter Trail Run - 2mi,1/11/2020,North Brunswick,New Jersey,running,2mi,https://runsignup.com/Race/NJ/NorthBrunswick/SecretMysteryRun,Kenvnjlaw@yahoo.com,"POTENTIAL EXCITING DANGERS / CHALLENGES - Get bitten by starving animals - Slip on ice & break bones - Buried bombs with mustard gas - Cut your leg on sharp branches - Slip on snow and break arm - Touch 29,000 Volts of Electricity - Run into tree branches, poke eye out - Angry deer with huge antlers - Fall into marsh - Exploding gas pipelines - Giant Sticker bushes - Slide off mud cliffs - Get hit in head with cement - Bad drivers from New York - Crawl under barbed wire who don't speak English Super pissed off hunters angry that the hashers trespassed on their land and scared away the deer, [Possible nudity by women]"
Browning Ross Winter Series 5K,1/12/2020,Glassboro,New Jersey,running,5km,https://d8a9ff76-a619-4772-ae91-d5ae27e8e5c2.filesusr.com/ugd/38042f_84c90eef7ac34175a411d702b9743e09.pdf,tuffgangrunning@yahoo.com,Registration & start of race will take place in the parking lot next to Rowan University’s track on Bowe Blvd.
