Name,Date,Location/City,State,Category,Distance,Website/Registration Link,Contact Email,Summary
Triboro Adventure Tour,09/19/20,Astoria,New York,running,13.1mi,https://runsignup.com/Race/NY/Astoria/TheTriboroAdventureTourHalfMarathon?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The 3rd Annual Triboro Adventure Tour is a street race that will take you on a journey from Queens through Manhattan and the Bronx and back! Join the fun as this unsanctioned race will have no specific course! Although you will be provided a map with exact locations of each checkpoint, you can choose the direction you want to get from each checkpoint to the next."
Big A's 5K,01/01/20,Glens Falls,New York,running,5km,https://www.active.com/glens-falls-ny/running/distance-running-races/10th-annual-big-a-s-5k-2020?afid=156210&ltcmp=254301&ltclickid=12_44991434_bfe34395-7b97-4d40-8214-419d7d43f72d&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,FJASFA@gmail.com,Start the new year with a nice flat 5k race through Glens Falls High School and neighborhood. Long sleeve custom t-shirts to the first 25 entrants. This race benefits the Jeff Aurelia Scholarship fund.
GRTC Freezeroo Race - New Year's Resolution,01/01/20,Pittsford,New York,running,7.5mi,https://runsignup.com/Race/NY/Rochester/FreezerooSeriesIndividualRace,Freezeroo@grtconline.org,Compete in the 2019-2020 Freezeroo Series! GRTC Members receive a discount on registration.
Hangover Half Marathon and Bill Hogan 3.5M,01/01/20,Albany,New York,running,13.1mi,https://www.hmrrc.com/races/2020/hangover-half-marathon-bill-hogan-35-miler,LHHAGRH@earthlink.net,"The Hudson-Mohawk Road Runners Club (HMRRC) is dedicated to promoting the sport of distance running through education and training to promote running as a part of a healthy lifestyle, promoting personal fitness and community through organizing and managing running events, providing means of communication among club members and creating opportunities for social activities."
Hangover Half Marathon and Bill Hogan 3.5M,01/01/20,Albany,New York,running,3.5mi,https://www.hmrrc.com/races/2020/hangover-half-marathon-bill-hogan-35-miler,LHHAGRH@earthlink.net,"The Hudson-Mohawk Road Runners Club (HMRRC) is dedicated to promoting the sport of distance running through education and training to promote running as a part of a healthy lifestyle, promoting personal fitness and community through organizing and managing running events, providing means of communication among club members and creating opportunities for social activities."
Skaneateles Lions Resolution Run,01/01/20,Skaneateles,New York,running,5km,https://www.active.com/skaneateles-ny/running/distance-running-races/skaneateles-lions-new-year-s-day-resolution-5k-run-3k-walk-2020,skaneateleslion@gmail.com,"Join us in celebrating the new year with a run/walk through the scenic Village of Skaneateles! After the race, meet other participants for snacks at the historic Sherwood Inn. Every year, we donate 100% of the profits from the Resolution Run to various charitable causes in the community."
Skaneateles Lions Resolution Run,01/01/20,Skaneateles,New York,running,3km,https://www.active.com/skaneateles-ny/running/distance-running-races/skaneateles-lions-new-year-s-day-resolution-5k-run-3k-walk-2020,skaneateleslion@gmail.com,"Join us in celebrating the new year with a run/walk through the scenic Village of Skaneateles! After the race, meet other participants for snacks at the historic Sherwood Inn. Every year, we donate 100% of the profits from the Resolution Run to various charitable causes in the community."
STRC New Year's Day 5 Miler,01/01/20,Big Flats,New York,running,5mi,https://runsignup.com/Race/Register/?raceId=36289&eventId=349655,,"Come kick off the New Year with a 5 mile run, jog, or walk."
Syracuse Track Club Resolution Run,01/01/20,Syracuse,New York,running,4-5mi,https://runsignup.com/Race/Register/?raceId=13337&eventId=356149,,"Start 2020 off right with a casual New Year's Day run (4-5 miles), followed by a sumptuous post-race buffet at The Spaghetti Warehouse."
City Running Tours - Brooklyn Bridge Running Tour,01/03/20,New York,New York,running,4.3mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-brooklyn-bridge-running-tour-2020?afid=156210&ltcmp=254301&ltclickid=12_45332375_3c720a28-f8b0-4688-bb70-c47103b4652e&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,runners@cityrunningtours.com,"The Brooklyn Bridge is the most iconic landmark in all of New York. At any time of day The Bridge provides great views of Manhattan and Brooklyn and offers a look back at the origins of modern day New York City, when Manhattan and Brooklyn were still separate cities. This short run covers a lot of landmarks, taking you over the Brooklyn Bridge and back on the Manhattan Bridge, then through the streets of Chinatown and The Five Point Area, before finishing up downtown in front of City Hall."
Frozen Assets 5K Snowshoe Race,01/04/20,Canadice,New York,running,5km,https://ultrasignup.com/register.aspx?did=72252,,The trail system is groomed for x-c skiing both classic and skate which makes for excellent snowshoeing conditions. Do not be fooled we always like to throw in a little ungroomed trail for the adventure.
NYRR Joe Kleinerman 10K,01/04/20,New York,New York,running,10km,https://www.nyrr.org/races/nyrrjoekleinerman10k,help@nyrr.org,"Make good on your New Year’s running resolution by taking part in the NYRR Joe Kleinerman 10K! Kleinerman, a founding member of NYRR, the longtime coach of the Millrose Athletic Association, and a beloved NYRR employee until his death in 2003 at age 91, was a true competitor. Take on the challenge of this chilly 10K through beautiful Central Park."
