Name,Date,Location/City,State,Category,Distance,Swim Distance,Bike Distance,Run Distance,Website/Reg Link,Contact Email,Summary
Steel Fitness Premier Indoor Triathlon,"Jan 25, 2020",Allentown,Pennsylvania,Triathlon,Indoor,0.17H,0.5H,0.33H,https://www.active.com/allentown-pa/triathlon/races/steel-fitness-premier-indoor-triathlon-2020?afid=156210&ltcmp=254301&ltclickid=01_57924956_69e2ab6c-7bd8-4d3d-a601-09ac2773095b&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,info@sfpremierhw.com,Join us for our Steel Fitness Indoor Triathlon/Duathlon Events. We will be holding 3 indoor triathlons at our Steel Fitness Premier facility.
State College YMCA Indoor Triathlon,"Jan 26, 2020",State College,Pennsylvania,Triathlon,Indoor,0.17H,0.17H,0.17H,https://operations.daxko.com/Online/2025/ProgramsV2/OfferingDetails.mvc?program_id=TMP101222&offering_id=SES2579453&location_id=B89,jcone@ymcaocc.org,"Come join us on Sunday morning, January 26 and try out this new winter twist. While the weather outside may be a little bit frightful, inside the Y, the pool is a nice 80 degrees."
Tri To Help Pennsylvania Indoor Triathlon Epilepsy Fundraiser,"Feb 9, 2020",Lancaster,Pennsylvania,Triathlon,Sprint,0.17H,0.5H,0.33H,https://www.active.com/lancaster-pa/triathlon/races/tri-to-help-pennsylvania-indoor-triathlon-epilepsy-and-autism-fundraiser-event-2020,tritohelp@stroupkidsforkids.org,Tri To Help is an off season national Indoor Sprint Triathlon. Seasoned triathletes and first-timers compete to raise the most sponsors for this worthy cause which funds epilepsy and autism programs.
Steel Fitness Indoor Triathlon,"Feb 29, 2020",Allentown,Pennsylvania,Triathlon,Indoor,0.17H,0.5H,0.33H,https://www.active.com/allentown-pa/duathlon/races/steel-fitness-triathlon-duathlon-2020?afid=156210&ltcmp=254301&ltclickid=01_57931953_ab55e8c2-a23a-4dd0-bda6-d3563bf93dcd&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,info@sfpremierhw.com,Join us for our Steel Fitness Indoor Triathlon/Duathlon Events. We will be holding 3 indoor triathlons at our Steel Fitness Premier facility.
Center for Fitness and Health Indoor Triathlon,"Mar 1, 2020",Belle Vernon,Pennsylvania,Triathlon,Sprint,0.6km,8mi,2mi,https://www.active.com/belle-vernon-pa/triathlon/races/12th-annual-center-for-fitness-and-health-indoor-triathlon-2020?afid=156210&ltcmp=254301&ltclickid=01_57933251_7bb5cf47-fb6d-4fbf-8ccd-1fc9b4a51302&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,chad@mvhealthplex.com,The Center for Fitness and Health is proud to host our 12th Annual Indoor Triathlon.
Steel Fitness Indoor Triathlon,"Mar 28, 2020",Allentown,Pennsylvania,Triathlon,Indoor,0.17H,0.5H,0.33H,https://www.active.com/allentown-pa/duathlon/races/steel-fitness-indoor-triathlon-duathlon-2020?afid=156210&ltcmp=254301&ltclickid=01_57935183_a10501f6-6935-4a97-99e8-761a0c0efdc3&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,info@sfpremierhw.com,Join us for our Steel Fitness Indoor Triathlon/Duathlon Events. We will be holding 3 indoor triathlons at our Steel Fitness Premier facility.
Gannon University Indoor Triathlon,"Apr 6, 2020",Erie,Pennsylvania,Triathlon,Indoor,0.33H,0.33H,0.33H,https://runsignup.com/Race/PA/Erie/GannonUniversityIndoorTriathlon,,"Indoor Triathlon consisting of a 20 minute swim, 20 minute bike on a Keiser cycle, and a 20 minute run on an indoor track at the Gannon University Recreation and Wellness Center."
HARC Youth Tri,"May 2, 2020",Landisville,Pennsylvania,Triathlon,Youth,0.05km,1mi,0.25mi,http://hempfieldrec.com/event/2020-youth-tri-for-fun/,info@hempfieldrec.com,"TRI for FUN is a non-competitive event for youth ages 7–12. Three age groups and no official times will be recorded. Participants need a swimsuit, towel, bike, bike helmet and running shoes."
HARC Youth Tri,"May 2, 2020",Landisville,Pennsylvania,Triathlon,Youth,0.05km,1.25mi,0.5mi,http://hempfieldrec.com/event/2020-youth-tri-for-fun/,info@hempfieldrec.com,"TRI for FUN is a non-competitive event for youth ages 7–12. Three age groups and no official times will be recorded. Participants need a swimsuit, towel, bike, bike helmet and running shoes."
HARC Youth Tri,"May 2, 2020",Landisville,Pennsylvania,Triathlon,Youth,0.1km,1.5mi,0.5mi,http://hempfieldrec.com/event/2020-youth-tri-for-fun/,info@hempfieldrec.com,"TRI for FUN is a non-competitive event for youth ages 7–12. Three age groups and no official times will be recorded. Participants need a swimsuit, towel, bike, bike helmet and running shoes."
